Handle,Max Rating_x,Result,Max Rating_y
ShinChan-_-,1681,Yes,1681
lhy_hanhan,1724,Yes,1724
NexTopper,1615,Yes,1615
Zeeman01,1803,Yes,1803
nan_ling,1676,Yes,1676
slivolymp,1810,Yes,1810
Aryan0Barsaiyan,1611,Yes,1611
jayantjha1109,1783,Yes,1783
miiitomi,1654,Yes,1654
don2001,1799,Yes,1799
Zwb0106,1616,Yes,1616
_ChiFAN_,1606,Yes,1606
_LoveYourSelf_,1655,Yes,1655
Snow_S,1670,Yes,1670
AverageAmogusEnjoyer,1708,Yes,1708
Thorfinn_Karlsefni,1605,Yes,1605
bzh110,1663,Yes,1663
ShashankGaur03,1655,Yes,1655
rodger2041,1707,Yes,1707
linuxed,1761,Yes,1761
Earlyamazon,1746,Yes,1746
F_Rio,1686,Yes,1686
Jasit,1630,Yes,1630
M_Rana,1654,Yes,1654
TheForsaking,1693,Yes,1693
u_u_,1616,Yes,1616
sachinjaiswal,1686,Yes,1686
khanter_,1812,Yes,1812
IngaleAnkur10,1992,Yes,1992
sandeep5445,1682,Yes,1682
Nekoyo,1617,Yes,1617
vibhushit,1709,Yes,1709
