Problem,Contest,Index,Tags,Rating,Submissions,Accepted,WrongAnswer,TimeLimitExceeded,MemoryLimitExceeded,SampleTests,Statement,Input,Output
Monoblock,1715,C,"combinatorics, data structures, implementation, math",,,,,,,,,,
Build a Tree and That Is It,1714,F,"constructive algorithms, implementation, trees",,,,,,,,,,
Remove Prefix,1714,B,"data structures, greedy, implementation",,,,,,,,,,
Everyone Loves to Sleep,1714,A,"implementation, math",,,,,,,,,,
Traveling Salesman Problem,1713,A,"geometry, greedy, implementation",,,,,,,,,,
Wonderful Permutation,1712,A,"greedy, implementation",,,,,,,,,,
Rain,1710,B,"binary search, brute force, data structures, geometry, greedy, implementation, math",,,,,,,,,,
Recover an RBS,1709,C,"constructive algorithms, greedy, implementation, strings",,,,,,,,,,
Also Try Minecraft,1709,B,"data structures, dp, implementation",,,,,,,,,,
Three Doors,1709,A,"brute force, greedy, implementation, math",,,,,,,,,,
Difference Array,1707,B,"brute force, data structures, implementation, sortings",,,,,,,,,,
Doremy's IQ,1707,A,"binary search, constructive algorithms, greedy, implementation",,,,,,,,,,
Qpwoeirut And The City,1706,C,"dp, flows, greedy, implementation",,,,,,,,,,
Mark and His Unfinished Essay,1705,C,"brute force, implementation",,,,,,,,,,
Mark the Dust Sweeper,1705,B,"constructive algorithms, greedy, implementation",,,,,,,,,,
Count Seconds,1704,E,"brute force, constructive algorithms, dp, graphs, implementation, math",,,,,,,,,,
Magical Array,1704,D,"constructive algorithms, hashing, implementation, math",,,,,,,,,,
Virus,1704,C,"greedy, implementation, sortings",,,,,,,,,,
Luke is a Foodie,1704,B,"brute force, greedy, implementation",,,,,,,,,,
Mirror Grid,1703,E,implementation,,,,,,,,,,
Cypher,1703,C,"brute force, implementation, strings",,,,,,,,,,
ICPC Balloons,1703,B,"data structures, implementation",,,,,,,,,,
YES or YES?,1703,A,"brute force, implementation, strings",,,,,,,,,,
Points,1701,F,"combinatorics, data structures, implementation, math, matrices",,,,,,,,,,
Schedule Management,1701,C,"binary search, greedy, implementation, two pointers",,,,,,,,,,
Grass Field,1701,A,implementation,,,,,,,,,,
Palindromic Numbers ,1700,B,"constructive algorithms, implementation, math",,,,,,,,,,
Equal Reversal,1698,F,"constructive algorithms, graphs, implementation, math",,,,,,,,,,
Rising Sand,1698,B,"constructive algorithms, greedy, implementation",,,,,,,,,,
Too Many Constraints,1697,F,"2-sat, constructive algorithms, graphs, implementation",,,,,,,,,,
Coloring,1697,E,"brute force, combinatorics, constructive algorithms, dp, geometry, graphs, greedy, implementation, math",,,,,,,,,,
awoo's Favorite Problem,1697,C,"binary search, constructive algorithms, data structures, greedy, implementation, strings, two pointers",,,,,,,,,,
Parkway Walk,1697,A,"greedy, implementation",,,,,,,,,,
Maximum Product?,1696,H,"brute force, combinatorics, dp, greedy, implementation, math, two pointers",,,,,,,,,,
Fishingprince Plays With Array,1696,C,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Creep,1694,A,"greedy, implementation",,,,,,,,,,
Binary Deque,1692,E,"binary search, implementation, two pointers",,,,,,,,,,
The Clock,1692,D,"brute force, implementation",,,,,,,,,,
Where's the Bishop?,1692,C,implementation,,,,,,,,,,
Marathon,1692,A,implementation,,,,,,,,,,
Max GEQ Sum,1691,D,"binary search, constructive algorithms, data structures, divide and conquer, implementation, two pointers",,,,,,,,,,
Shoe Shuffling,1691,B,"constructive algorithms, greedy, implementation, two pointers",,,,,,,,,,
Black and White Stripe,1690,D,"implementation, two pointers",,,,,,,,,,
Restoring the Duration of Tasks,1690,C,"data structures, greedy, implementation",,,,,,,,,,
Array Decrements,1690,B,"greedy, implementation",,,,,,,,,,
Lex String,1689,A,"brute force, greedy, implementation, sortings, two pointers",,,,,,,,,,
Cute number,1687,D,"binary search, brute force, data structures, dsu, implementation, math",,,,,,,,,,
Linguistics,1685,B,"greedy, implementation, sortings, strings",,,,,,,,,,
Column Swapping,1684,C,"brute force, constructive algorithms, greedy, implementation, sortings",,,,,,,,,,
Circular Spanning Tree,1682,D,"constructive algorithms, implementation, trees",,,,,,,,,,
LIS or Reverse LIS?,1682,C,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Double Sort,1681,C,"implementation, sortings",,,,,,,,,,
Card Trick,1681,B,"implementation, math",,,,,,,,,,
Robots,1680,B,implementation,,,,,,,,,,
Rooks Defenders,1679,C,"data structures, implementation",,,,,,,,,,
Stone Age Problem,1679,B,"data structures, implementation",,,,,,,,,,
Tokitsukaze and Good 01-String (hard version),1678,B2,"dp, greedy, implementation",,,,,,,,,,
Tokitsukaze and Good 01-String (easy version),1678,B1,implementation,,,,,,,,,,
Tokitsukaze and All Zero Sequence,1678,A,implementation,,,,,,,,,,
Tokitsukaze and Meeting,1677,B,"data structures, implementation, math",,,,,,,,,,
Longest Strike,1676,F,"data structures, greedy, implementation, sortings, two pointers",,,,,,,,,,
X-Sum,1676,D,"brute force, greedy, implementation",,,,,,,,,,
Most Similar Words,1676,C,"brute force, greedy, implementation, implementation, math, strings",,,,,,,,,,
Lucky?,1676,A,implementation,,,,,,,,,,
Vertical Paths,1675,D,"graphs, implementation, trees",,,,,,,,,,
Detective Task,1675,C,implementation,,,,,,,,,,
Make It Increasing,1675,B,"greedy, implementation",,,,,,,,,,
Desktop Rearrangement,1674,F,"data structures, greedy, implementation",,,,,,,,,,
A-B-C Sort,1674,D,"constructive algorithms, implementation, sortings",,,,,,,,,,
Infinite Replacement,1674,C,"combinatorics, implementation, strings",,,,,,,,,,
Cyclic Rotation,1672,D,"constructive algorithms, greedy, implementation, two pointers",,,,,,,,,,
Unequal Array,1672,C,"constructive algorithms, greedy, implementation",,,,,,,,,,
I love AAAB,1672,B,"constructive algorithms, implementation",,,,,,,,,,
Log Chopping,1672,A,"games, implementation, math",,,,,,,,,,
String Building,1671,A,implementation,,,,,,,,,,
Very Suspicious,1670,D,"binary search, brute force, geometry, greedy, implementation, math",,,,,,,,,,
Where is the Pizza?,1670,C,"data structures, dfs and similar, dsu, graphs, implementation, math",,,,,,,,,,
Dorms War,1670,B,"brute force, implementation, strings",,,,,,,,,,
Prof. Slim,1670,A,"greedy, implementation, sortings",,,,,,,,,,
Fall Down,1669,G,"dfs and similar, implementation",,,,,,,,,,
Colorful Stamp,1669,D,implementation,,,,,,,,,,
Odd/Even Increments,1669,C,"greedy, greedy, implementation, math",,,,,,,,,,
Triple,1669,B,"implementation, sortings",,,,,,,,,,
Division?,1669,A,implementation,,,,,,,,,,
Direction Change,1668,A,"implementation, math",,,,,,,,,,
Yin Yang,1667,F,implementation,,,,,,,,,,
Fancy Stack,1666,F,"combinatorics, dp, implementation",,,,,,,,,,
MinimizOR,1665,E,"bitmasks, brute force, data structures, divide and conquer, greedy, implementation, two pointers",,,,,,,,,,
Are You Safe?,1663,E,"*special, implementation",,,,,,,,,,
Pōja Verdon,1663,C,"*special, implementation, math",,,,,,,,,,
Mike's Sequence,1663,B,"*special, divide and conquer, implementation, math",,,,,,,,,,
Circular Maze,1662,O,"brute force, dfs and similar, graphs, implementation",,,,,,,,,,
Ice Cream Shop,1662,I,"brute force, implementation, sortings",,,,,,,,,,
Antennas,1662,F,"data structures, dfs and similar, graphs, graphs, implementation, implementation, shortest paths, shortest paths",,,,,,,,,,
Evolution of Weasels,1662,D,"greedy, implementation, strings",,,,,,,,,,
Organizing SWERC,1662,A,"brute force, implementation",,,,,,,,,,
Promising String (hard version),1660,F2,"data structures, implementation, math, strings",,,,,,,,,,
Promising String (easy version),1660,F1,"brute force, implementation, math, strings",,,,,,,,,,
Matrix and Shifts,1660,E,"brute force, constructive algorithms, greedy, implementation",,,,,,,,,,
