Problem,Contest,Index,Tags,Rating,Submissions,Accepted,WrongAnswer,TimeLimitExceeded,MemoryLimitExceeded,SampleTests,Statement,Input,Output
Maximum Product Strikes Back,1660,D,"brute force, implementation, math, two pointers",,,,,,,,,,
Reverse Sort Sum,1659,D,"constructive algorithms, data structures, greedy, implementation, math, two pointers",,,,,,,,,,
Line Empire,1659,C,"binary search, brute force, dp, greedy, implementation, math",,,,,,,,,,
Red Versus Blue,1659,A,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Gojou and Matrix Game,1658,E,"data structures, dp, games, hashing, implementation, math, number theory, sortings",,,,,,,,,,
Marin and Photoshoot,1658,A,"constructive algorithms, implementation, math",,,,,,,,,,
Bracket Sequence Deletion,1657,C,"greedy, implementation",,,,,,,,,,
Alice and the Cake,1654,C,"data structures, greedy, implementation, sortings",,,,,,,,,,
Maximum Cake Tastiness,1654,A,"brute force, greedy, implementation, sortings",,,,,,,,,,
Fault-tolerant Network,1651,C,"brute force, data structures, implementation",,,,,,,,,,
Playoff,1651,A,implementation,,,,,,,,,,
Vitaly and Advanced Useless Algorithms,1650,F,"dp, greedy, implementation",,,,,,,,,,
Rescheduling the Exam,1650,E,"binary search, data structures, greedy, implementation, math, sortings",,,,,,,,,,
Twist the Permutation,1650,D,"brute force, constructive algorithms, implementation, math",,,,,,,,,,
Weight of the System of Nested Segments,1650,C,"greedy, hashing, implementation, sortings",,,,,,,,,,
Deletions of Two Adjacent Letters,1650,A,"implementation, strings",,,,,,,,,,
Game of Ball Passing,1649,B,"greedy, implementation",,,,,,,,,,
Game,1649,A,implementation,,,,,,,,,,
Air Reform,1648,E,"data structures, dfs and similar, divide and conquer, dsu, graphs, implementation, trees",,,,,,,,,,
Serious Business,1648,D,"data structures, divide and conquer, dp, implementation, shortest paths",,,,,,,,,,
Tyler and Strings,1648,C,"combinatorics, data structures, implementation",,,,,,,,,,
Madoka and the Elegant Gift,1647,B,"brute force, constructive algorithms, graphs, implementation",,,,,,,,,,
Madoka and Math Dad,1647,A,"implementation, math",,,,,,,,,,
Playing Around the Table,1646,F,"constructive algorithms, greedy, implementation",,,,,,,,,,
Weight the Tree,1646,D,"constructive algorithms, dfs and similar, dp, implementation, trees",,,,,,,,,,
Expand the Path,1644,E,"brute force, combinatorics, data structures, implementation, math",,,,,,,,,,
Cross Coloring,1644,D,"data structures, implementation, math",,,,,,,,,,
Increase Subarray Sums,1644,C,"brute force, dp, greedy, implementation",,,,,,,,,,
Anti-Fibonacci Permutation,1644,B,"brute force, constructive algorithms, implementation",,,,,,,,,,
Doors and Keys,1644,A,implementation,,,,,,,,,,
Repetitions Decoding,1641,B,"constructive algorithms, implementation, sortings",,,,,,,,,,
Colorful Operations,1638,E,"brute force, data structures, implementation",,,,,,,,,,
Big Brush,1638,D,"constructive algorithms, data structures, greedy, implementation",,,,,,,,,,
Best Pair,1637,E,"binary search, brute force, implementation",,,,,,,,,,
Andrew and Stones,1637,C,"greedy, implementation",,,,,,,,,,
Fibonacci Additions,1634,F,"brute force, data structures, hashing, implementation, math",,,,,,,,,,
ABC,1632,A,implementation,,,,,,,,,,
Grid Xor,1628,C,"constructive algorithms, greedy, implementation, interactive, math",,,,,,,,,,
Meximum Array,1628,A,"binary search, constructive algorithms, greedy, implementation, math, two pointers",,,,,,,,,,
Not Splitting,1627,F,"geometry, graphs, greedy, implementation, shortest paths",,,,,,,,,,
Not Escaping,1627,E,"data structures, dp, implementation, shortest paths, two pointers",,,,,,,,,,
Not Shading,1627,A,"constructive algorithms, implementation",,,,,,,,,,
Monsters And Spells,1626,C,"binary search, data structures, dp, greedy, implementation, math, two pointers",,,,,,,,,,
Binary Spiders,1625,D,"bitmasks, data structures, implementation, math, sortings, trees",,,,,,,,,,
Masha-forgetful,1624,E,"brute force, constructive algorithms, dp, hashing, implementation, strings",,,,,,,,,,
Make AP,1624,B,"implementation, math",,,,,,,,,,
Robot Cleaner Revisit,1623,D,"implementation, math, probabilities",,,,,,,,,,
Game on Ranges,1623,B,"brute force, dfs and similar, implementation, sortings",,,,,,,,,,
Robot Cleaner,1623,A,"brute force, implementation, math",,,,,,,,,,
Strange Instructions,1621,F,"data structures, greedy, implementation",,,,,,,,,,
New School,1621,E,"binary search, data structures, dp, greedy, implementation, sortings",,,,,,,,,,
Integers Shop,1621,B,"data structures, greedy, implementation",,,,,,,,,,
Replace the Numbers,1620,E,"constructive algorithms, data structures, dsu, implementation",,,,,,,,,,
BA-String,1620,C,"brute force, dp, greedy, implementation, math",,,,,,,,,,
Equal or Not Equal,1620,A,"constructive algorithms, dsu, implementation",,,,,,,,,,
MEX and Increments,1619,E,"constructive algorithms, data structures, dp, greedy, implementation, math, sortings",,,,,,,,,,
Wrong Addition,1619,C,implementation,,,,,,,,,,
Squares and Cubes,1619,B,"implementation, math",,,,,,,,,,
Square String?,1619,A,"implementation, strings",,,,,,,,,,
Reverse,1618,F,"bitmasks, constructive algorithms, dfs and similar, implementation, math, strings",,,,,,,,,,
Missing Bigram,1618,B,implementation,,,,,,,,,,
Christmas Chocolates,1617,E,"dfs and similar, dp, games, graphs, implementation, math, number theory, shortest paths, trees",,,,,,,,,,
Too Many Impostors (hard version),1617,D2,"constructive algorithms, implementation, interactive, math",,,,,,,,,,
Too Many Impostors (easy version),1617,D1,"constructive algorithms, implementation, interactive",,,,,,,,,,
Representative Edges,1616,C,"brute force, geometry, implementation, math",,,,,,,,,,
Integer Diversity,1616,A,implementation,,,,,,,,,,
Absent Remainder,1613,B,"greedy, implementation, sortings",,,,,,,,,,
Long Comparison,1613,A,"implementation, math",,,,,,,,,,
AmShZ and G.O.A.T.,1610,E,"binary search, brute force, greedy, implementation, math",,,,,,,,,,
Social Network,1609,D,"dsu, graphs, greedy, implementation, trees",,,,,,,,,,
Complex Market Analysis,1609,C,"binary search, dp, implementation, number theory, schedules, two pointers",,,,,,,,,,
William the Vigilant,1609,B,"implementation, strings",,,,,,,,,,
Divide and Multiply,1609,A,"greedy, implementation, math, number theory",,,,,,,,,,
MEX counting,1608,F,"combinatorics, dp, implementation",,,,,,,,,,
The Cells on the Paper,1608,E,"binary search, implementation, sortings",,,,,,,,,,
Robot on the Board 2,1607,F,"brute force, dfs and similar, graphs, implementation",,,,,,,,,,
Robot on the Board 1,1607,E,implementation,,,,,,,,,,
Linear Keyboard,1607,A,"implementation, strings",,,,,,,,,,
Red-Blue Matrix,1606,D,"brute force, constructive algorithms, implementation, sortings",,,,,,,,,,
Update Files,1606,B,"greedy, implementation, math",,,,,,,,,,
Array Equalizer,1605,E,"binary search, greedy, implementation, math, number theory, sortings, two pointers",,,,,,,,,,
Treelabeling,1605,D,"bitmasks, constructive algorithms, dfs and similar, games, greedy, implementation, trees",,,,,,,,,,
Dominant Character,1605,C,"brute force, greedy, implementation, strings",,,,,,,,,,
"October 18, 2017",1603,F,"combinatorics, dp, implementation, math",,,,,,,,,,
Divine Array,1602,B,"constructive algorithms, implementation",,,,,,,,,,
Two Subsequences,1602,A,implementation,,,,,,,,,,
Staircases,1598,E,"brute force, combinatorics, data structures, dfs and similar, dp, implementation, math",,,,,,,,,,
Training Session,1598,D,"combinatorics, data structures, geometry, implementation, math",,,,,,,,,,
Delete Two Elements,1598,C,"data structures, dp, implementation, math, two pointers",,,,,,,,,,
Groups,1598,B,"brute force, implementation",,,,,,,,,,
Computer Game,1598,A,"brute force, dfs and similar, dp, implementation",,,,,,,,,,
Rubik's Cube Coloring (hard version),1594,E2,"brute force, dp, implementation, math, trees",,,,,,,,,,
Red-Black Number,1593,F,"dfs and similar, dp, implementation, math, meet-in-the-middle",,,,,,,,,,
Gardener and Tree,1593,E,"brute force, data structures, dfs and similar, greedy, implementation, trees",,,,,,,,,,
Hemose in ICPC ?,1592,D,"binary search, dfs and similar, implementation, interactive, math, number theory, trees",,,,,,,,,,
Life of a Flower,1585,A,implementation,,,,,,,,,,
Train Maintenance,1580,C,"brute force, data structures, implementation",,,,,,,,,,
Portal,1580,A,"brute force, data structures, dp, greedy, implementation",,,,,,,,,,
Ticks,1579,C,"greedy, implementation",,,,,,,,,,
Shifting Sort,1579,B,"implementation, sortings",,,,,,,,,,
Kingdom of Islands,1578,K,"brute force, graphs, implementation",,,,,,,,,,
Higher Order Functions,1578,H,"implementation, strings",,,,,,,,,,
Easy Scheduling,1578,E,"implementation, math",,,,,,,,,,
Knitting Batik,1575,K,"implementation, math",,,,,,,,,,
Jeopardy of Dropped Balls,1575,J,"binary search, brute force, dsu, implementation",,,,,,,,,,
Coloring,1574,E,"combinatorics, constructive algorithms, implementation, math",,,,,,,,,,
The Strongest Build,1574,D,"binary search, brute force, data structures, dfs and similar, graphs, greedy, hashing, implementation",,,,,,,,,,
Book,1572,A,"binary search, brute force, data structures, dp, graphs, implementation, sortings",,,,,,,,,,
Sweepstake,1571,D,"*special, brute force, constructive algorithms, implementation, math",,,,,,,,,,
Rhyme,1571,C,"*special, implementation",,,,,,,,,,
Playoff Restoration,1569,E,"bitmasks, brute force, hashing, implementation, meet-in-the-middle",,,,,,,,,,
Inconvenient Pairs,1569,D,"binary search, data structures, implementation, sortings, two pointers",,,,,,,,,,
Balanced Substring,1569,A,implementation,,,,,,,,,,
One-Four Overload,1567,F,"2-sat, constructive algorithms, dfs and similar, dsu, graphs, implementation",,,,,,,,,,
Expression Evaluation Error,1567,D,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Domino Disaster,1567,A,"implementation, strings",,,,,,,,,,
Four Vertices,1566,G,"constructive algorithms, data structures, graphs, greedy, implementation, shortest paths",,,,,,,,,,
Points Movement,1566,F,"data structures, dp, greedy, implementation, sortings",,,,,,,,,,
Seating Arrangements (hard version) ,1566,D2,"data structures, greedy, implementation, sortings, two pointers",,,,,,,,,,
Scenes From a Memory,1562,B,"brute force, constructive algorithms, implementation, math, number theory",,,,,,,,,,
Simply Strange Sort,1561,A,"brute force, implementation, sortings",,,,,,,,,,
Polycarp and String Transformation,1560,E,"binary search, implementation, sortings, strings",,,,,,,,,,
Infinity Table,1560,C,"implementation, math",,,,,,,,,,
Dislike of Threes,1560,A,implementation,,,,,,,,,,
Compressed Bracket Sequence,1556,C,"brute force, implementation",,,,,,,,,,
Take Your Places!,1556,B,implementation,,,,,,,,,,
Coin Rows,1555,C,"brute force, constructive algorithms, dp, implementation",,,,,,,,,,
Mikasa,1554,C,"binary search, bitmasks, greedy, implementation",,,,,,,,,,
Reverse String,1553,B,"brute force, dp, hashing, implementation, strings",,,,,,,,,,
Domino (hard version),1551,D2,"constructive algorithms, implementation, math",,,,,,,,,,
Excellent Arrays,1550,D,"binary search, combinatorics, constructive algorithms, implementation, math, sortings, two pointers",,,,,,,,,,
Manhattan Subarrays,1550,C,"brute force, geometry, greedy, implementation",,,,,,,,,,
Gregor and the Pawn Game,1549,B,"dfs and similar, dp, flows, graph matchings, graphs, greedy, implementation",,,,,,,,,,
Air Conditioners,1547,E,"data structures, dp, implementation, shortest paths, sortings, two pointers",,,,,,,,,,
Alphabetical Strings,1547,B,"greedy, implementation, strings",,,,,,,,,,
Shortest Path with Obstacle,1547,A,"implementation, math",,,,,,,,,,
Need for Pink Slips,1543,C,"bitmasks, brute force, dfs and similar, implementation, math, probabilities",,,,,,,,,,
Priority Queue,1542,D,"combinatorics, dp, implementation, math, ternary search",,,,,,,,,,
Pleasant Pairs,1541,B,"brute force, implementation, math, number theory",,,,,,,,,,
Pretty Permutations,1541,A,"constructive algorithms, greedy, implementation",,,,,,,,,,
Game with Cards,1539,E,"binary search, constructive algorithms, data structures, dp, greedy, implementation",,,,,,,,,,
PriceFixed,1539,D,"binary search, greedy, implementation, sortings, two pointers",,,,,,,,,,
Love Song,1539,B,"dp, implementation, strings",,,,,,,,,,
Funny Substrings,1538,E,"data structures, hashing, implementation, matrices, strings",,,,,,,,,,
Erase and Extend (Easy Version),1537,E1,"binary search, brute force, dp, greedy, hashing, implementation, string suffix structures, strings, two pointers",,,,,,,,,,
Challenging Cliffs,1537,C,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Omkar and Medians,1536,D,"data structures, greedy, implementation",,,,,,,,,,
String Distance,1535,F,"binary search, brute force, data structures, hashing, implementation, strings",,,,,,,,,,
Playoff Tournament,1535,D,"data structures, dfs and similar, dp, implementation, trees",,,,,,,,,,
Unstable String,1535,C,"binary search, dp, greedy, implementation, strings, two pointers",,,,,,,,,,
Fair Playoff,1535,A,"brute force, implementation",,,,,,,,,,
Histogram Ugliness,1534,B,"greedy, implementation, math",,,,,,,,,,
Colour the Flag,1534,A,"brute force, implementation",,,,,,,,,,
Sweets,1533,C,"*special, data structures, implementation",,,,,,,,,,
Nearest Point Function,1533,B,"*special, implementation",,,,,,,,,,
Travel to Bertown,1533,A,"*special, implementation, math",,,,,,,,,,
Uniform String,1532,C,"*special, implementation",,,,,,,,,,
Зингер | color,1531,A,"*special, implementation",,,,,,,,,,
Putting Plates,1530,B,"constructive algorithms, implementation",,,,,,,,,,
MEX Tree,1527,D,"combinatorics, dfs and similar, implementation, math, trees",,,,,,,,,,
Sequence Pair Weight,1527,C,"hashing, implementation, math",,,,,,,,,,
Robot Collisions,1525,C,"data structures, greedy, implementation, sortings",,,,,,,,,,
Compression and Expansion,1523,C,"brute force, data structures, greedy, implementation, trees",,,,,,,,,,
Game of Life,1523,A,implementation,,,,,,,,,,
Nastia Plays with a Tree,1521,D,"constructive algorithms, data structures, dfs and similar, dp, dsu, greedy, implementation, trees",,,,,,,,,,
To Go Or Not To Go?,1520,G,"brute force, dfs and similar, graphs, greedy, implementation, shortest paths",,,,,,,,,,
Do Not Be Distracted!,1520,A,"brute force, implementation",,,,,,,,,,
Maximum Sum of Products,1519,D,"brute force, dp, implementation, math, two pointers",,,,,,,,,,
Group Photo,1517,E,"binary search, data structures, implementation, two pointers",,,,,,,,,,
Fillomino 2,1517,C,"constructive algorithms, dfs and similar, greedy, implementation",,,,,,,,,,
Cut and Stick,1514,D,"binary search, data structures, greedy, implementation, sortings",,,,,,,,,,
Array and Peaks,1513,A,"constructive algorithms, implementation",,,,,,,,,,
Education,1512,F,"brute force, dp, greedy, implementation",,,,,,,,,,
A-B Palindrome,1512,C,"constructive algorithms, implementation, strings",,,,,,,,,,
Almost Rectangle,1512,B,implementation,,,,,,,,,,
Spy Detected!,1512,A,"brute force, implementation",,,,,,,,,,
Yet Another Card Deck,1511,C,"brute force, data structures, implementation, trees",,,,,,,,,,
King's Task,1510,K,"brute force, graphs, implementation",,,,,,,,,,
Almost Sorted,1508,B,"binary search, combinatorics, constructive algorithms, implementation",,,,,,,,,,
Binary Literature,1508,A,"constructive algorithms, greedy, implementation, strings, two pointers",,,,,,,,,,
Restoring the Permutation,1506,E,"constructive algorithms, implementation",,,,,,,,,,
Double-ended Strings,1506,C,"brute force, implementation, strings",,,,,,,,,,
Partial Replacement,1506,B,"greedy, implementation",,,,,,,,,,
Encoded message,1505,G,"*special, implementation",,,,,,,,,,
Cakewalk,1505,E,"*special, greedy, implementation, shortest paths",,,,,,,,,,
Fibonacci Words,1505,C,"*special, implementation",,,,,,,,,,
DMCA,1505,B,"*special, implementation, number theory",,,,,,,,,,
Is it rated - 2,1505,A,"*special, implementation, interactive",,,,,,,,,,
Flip the Bits,1504,B,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Balance the Cards,1503,F,"constructive algorithms, data structures, divide and conquer, geometry, graphs, implementation",,,,,,,,,,
Napoleon Cake,1501,B,"dp, implementation, sortings",,,,,,,,,,
Alexey and Train,1501,A,implementation,,,,,,,,,,
Going Home,1500,A,"brute force, hashing, implementation, math",,,,,,,,,,
Binary Removals,1499,B,"brute force, dp, greedy, implementation",,,,,,,,,,
Bananas in a Microwave,1498,D,"dfs and similar, dp, graphs, implementation",,,,,,,,,,
Qingshan and Daniel,1495,E,"brute force, data structures, greedy, implementation",,,,,,,,,,
Delete The Edges,1494,F,"brute force, constructive algorithms, dfs and similar, graphs, implementation",,,,,,,,,,
1D Sokoban,1494,C,"binary search, dp, greedy, implementation, two pointers",,,,,,,,,,
Berland Crossword,1494,B,"bitmasks, brute force, greedy, implementation",,,,,,,,,,
ABC String,1494,A,"bitmasks, brute force, implementation",,,,,,,,,,
GCD of an Array,1493,D,"brute force, data structures, hashing, implementation, math, number theory, sortings, two pointers",,,,,,,,,,
Planet Lapituletti,1493,B,"brute force, implementation",,,,,,,,,,
Almost Fault-Tolerant Database,1492,E,"brute force, constructive algorithms, dfs and similar, greedy, implementation",,,,,,,,,,
Pekora and Trampoline,1491,C,"brute force, data structures, dp, greedy, implementation",,,,,,,,,,
K-th Largest Value,1491,A,"brute force, greedy, implementation",,,,,,,,,,
Permutation Transformation,1490,D,"dfs and similar, divide and conquer, implementation",,,,,,,,,,
