Problem,Contest,Index,Tags,solvedCount
Gas Pipeline,1207,C,"dp, greedy",9260
Boxers,1203,E,"greedy, sortings",12781
Common Divisors,1203,C,"implementation, math",18486
Maximum Median,1201,C,"binary search, greedy, math, sortings",19045
Zero Array,1201,B,"greedy, math",16610
Round Corridor,1200,C,"math, number theory",9398
Array Splitting,1197,C,"greedy, sortings",13095
RGB Substring (easy version),1196,D1,implementation,9884
Robot Breakout,1196,C,implementation,8838
Submarine in the Rybinsk Sea (easy edition),1195,D1,"combinatorics, math, number theory",7514
Basketball Exercise,1195,C,dp,22009
From S To T,1194,C,"implementation, strings",12435
Yet Another Crosses Problem,1194,B,implementation,9815
Tokitsukaze and Discard Items,1190,A,"implementation, two pointers",8960
Candies!,1189,C,"data structures, dp, implementation, math",9988
Letters Shop,1187,B,"binary search, implementation, strings",11550
Vus the Cossack and Numbers,1186,D,"constructive algorithms, greedy, math",8523
The Doctor Meets Vader (Easy),1184,B1,"binary search, sortings",4621
Candy Box (easy version),1183,D,"greedy, sortings",12574
Computer Game,1183,C,"binary search, math",13152
Plus from Picture,1182,B,"dfs and similar, implementation, strings",10557
Split a Number,1181,B,"greedy, implementation, strings",6062
Nick and Array,1180,B,"greedy, implementation",9100
Valeriy and Deque,1179,A,"data structures, implementation",9639
Prime Graph,1178,D,"constructive algorithms, greedy, math, number theory",6929
Tiles,1178,C,"combinatorics, greedy, math",10736
WOW Factor,1178,B,"dp, strings",12831
Lose it!,1176,C,"dp, greedy, implementation",13453
Ehab and a Special Coloring Problem,1174,C,"constructive algorithms, number theory",11568
Pairs,1169,B,"graphs, implementation",8840
Bicolored RBS,1167,D,"constructive algorithms, greedy",6541
News Distribution,1167,C,"dfs and similar, dsu, graphs",15594
Lost Numbers,1167,B,"brute force, divide and conquer, interactive, math",9818
A Tale of Two Lands,1166,C,"binary search, sortings, two pointers",8327
Good String,1165,C,greedy,12164
Cat Party (Easy Edition),1163,B1,"data structures, implementation",6345
Double Matrix,1162,B,"brute force, greedy",5304
Expansion coefficient of the array,1159,B,"implementation, math",6739
The Party and Sweets,1158,A,"binary search, constructive algorithms, greedy, implementation, math, sortings, two pointers",6433
Increasing Subsequence (easy version),1157,C1,greedy,11612
Long Number,1157,B,greedy,13559
Inscribed Figures,1156,A,geometry,7528
Alarm Clocks Everywhere,1155,C,"math, number theory",8517
Walking Robot,1154,D,greedy,9114
Gourmet Cat,1154,C,"implementation, math",9644
Neko Performs Cat Furrier Transform,1152,B,"bitmasks, constructive algorithms, dfs and similar, math",8269
Hide and Seek,1147,A,graphs,4693
Equalize Them All,1144,D,"constructive algorithms, greedy",9641
Queen,1143,C,"dfs and similar, trees",10387
